"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","As a customer, I should be able to view ""Complete The Look"" section of a product as a carousel","[Venus] User can change complete the look product`s color","0","0","1","0","0"
"","As user I want to see product landing page and interact with elements on this page","[Venus] User can see product details on product landing page","0","0","1","0","0"
"","As a customer, I should be able to see the cost summary on the page with the following info:","[Venus] User can see cost summary of added to cart items","0","0","1","0","0"
"","As a customer, I can start entering my search query in the input field and see auto-suggest results appear after typing a single character.","[Venus] User can start entering or editing my search query in the input field and see auto-suggest results appear after typing a single character.","0","0","1","0","0"
"","As a customer, I can filter search result product listing by all available options.","[Venus] User can filter the product listing by size option","0","0","1","0","0"
"","As user I want to see product landing page and interact with elements on this page","[Venus] User can select Inseam size on special product landing page","0","0","1","0","0"
"","As a customer, I can view a ""Size Guide/Size Chart"" page","[Venus] User can see ""Size Guide/Size Chart"" CTA on PDP page","0","0","1","0","0"
"","As a customer, I can view the product details and description content.","[Venus] User can see tabs of product description on PDP","0","0","1","0","0"
"","As a customer, I can click on the search icon to display the search input field.","[Venus] User opening search modal by taping search icon on header","0","0","1","0","0"
"","As a customer, I can see all available menu items, navigate through different menu sections, and be directed to the destination page after tapping the desired item.","[Venus] User can navigate through the site pages by taping corresponding element on hamburger menu","0","0","1","0","0"
"","As a customer, I should be able to view ""Complete The Look"" section of a product as a carousel","[Venus] User can change complete the look product`s size","0","0","1","0","0"
"","As a customer, I should be able to view ""Complete The Look"" section of a product as a carousel","[Venus] User can change complete the look product`s qty","0","0","1","0","0"
"","As a customer, I can click on the hamburger menu to open up the mobile navigation.","[Venus] User can close hamburger menu","0","0","1","0","0"
"","As a customer, I can view a ""Size Guide/Size Chart"" page","[Venus] User can navigate back to product from ""Size Guide/Size Chart"" spreadsheets","0","0","1","0","0"
"","As a customer, after I've selected my product options (eg. color and size), I can click on ""Add to Bag"" to add the product to my bag/cart.","[Venus] User can add to product to cart after selecting product options","0","0","1","0","0"
"","As a customer, if I'm logged in, I can click on the ""favorite"" button and add to my favorite's list.","[Venus] Logged-in user can add item to favorites by taping ""favorites"" button on PDP","0","0","1","0","0"
"","As a customer, I can proceed to checkout by clicking an appropriate button.","[Venus] User can navigate back to cart page from checkout","0","0","1","0","0"
"","As a customer, I will need to select different sub-categories under a parent product listing page as applicable.","[Venus] User can click different sub-categories under a parent product listing page to navigate to expected PLP","0","0","1","0","0"
"","As a customer, I can click on the hamburger menu to open up the mobile navigation.","[Venus] User can open hamburger menu by tapping appropriate CTA on header","0","0","1","0","0"
"","As a customer, I can download mobile app","[Venus] User can see Android and IOS app icons","0","0","1","0","0"
"","As a customer, I can create, view, sort, and rate product reviews.","[Venus] User can see product reviews on PDP","0","0","1","0","0"
"","As a customer, I can view a ""Size Guide/Size Chart"" page","[Venus] User can tap on ""Size Guide/Size Chart"" CTA and be navigated to ""Size Guide/Size Chart"" spreadsheet","0","0","1","0","0"
"","As a customer, I can navigate through the total product results through pagination links","[Venus] User see additional list of unique items after tapping pagination link. Items are different then in previous list","0","0","1","0","0"
"","As a customer, I should be able to view ""Recently Viewed"" section of a product","[Venus] User can see ""Recently viewed"" carousel with products recently viewed","0","0","1","0","0"
"","As a customer, I can submit a search query in the input field and be taken to a search results page.","[Venus] Suggested results on search modal redirect to product list page","0","0","1","0","0"
"","As a customer, I can click on the account icon on header to see account navigation links","[Venus] Signed in user can click on the account icon and navigate to Wish list form modal with account navigation links","0","0","1","0","0"
"","As a customer, after I've selected my product options (eg. color and size), I can click on ""Add to Bag"" to add the product to my bag/cart.","[Venus] User navigates to Dresses PLP and add random product to back to check stability of PWA","0","0","1","0","0"
"","As a customer, I need to see my current page location based on the navigation hierarchy so I can quickly go back to the previous page sections using breadcrumbs.","[Venus] User can quickly go back to the previous page sections using breadcrumbs","0","0","1","0","0"
"","As a customer, after I've selected my product options (eg. color and size), I can click on ""Add to Bag"" to add the product to my bag/cart.","[Venus] User navigates to Pants PLP and add random product to back to check stability of PWA","0","0","1","0","0"
"","As a customer, I can see the number of cart items currently in my shopping cart.","[Venus] User can see number of items currently in his shopping cart","0","0","1","0","0"
"","As a customer, I can select the size and width of the product.","[Venus] User can select Band size on special product page","0","0","1","0","0"
"","As a customer, I can submit a search query in the input field and be taken to a search results page.","[Venus] User can see ""No results"" search results page if searching some crazy term","0","0","1","0","0"
"","As a customer, I can filter search result product listing by all available options.","[Venus] User can filter search result product listing by multiple available options.","0","0","1","0","0"
"","As a customer, I should see a quick navigation bar underneath the main header which allows me to jump to relevant sections. This quick navigation bar includes the following:","[Venus] User can see a quick navigation bar underneath the main header which allows me to jump to relevant sections.","0","0","1","0","0"
"","As a customer, I can select the available colors for the product.","[Venus] User select color on product page","0","0","1","0","0"
"","As a customer, I can select the size and width of the product.","[Venus] User can select Waist Size on special product page","0","0","1","0","0"
"","As a customer, I need have a list of quick links available on the footer.","[Venus] User can see a list of quick links available on the footer.","0","0","1","0","0"
"","As a customer I want to see ""promo code"" or ""special offer"" recommendation information on homepage","[Venus] User can see ""FS75"" promo code information on homepage (promo code is changing time to time)","0","0","1","0","0"
"","As user I want to see product landing page and interact with elements on this page","[Venus] User select color on product landing page","0","0","1","0","0"
