"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 12 22:29:57 EET 2020","Sun Jan 12 22:30:43 EET 2020","46323","","As a customer, I should be able to view ""Complete The Look"" section of a product as a carousel","","[Venus] User can change complete the look product`s color","","[Venus] User can change complete the look product`s color","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PDP Product Details Page/PDP_CompleteLook_Caro.feature:71"
"passed","Sun Jan 12 23:25:54 EET 2020","Sun Jan 12 23:26:06 EET 2020","12437","","As user I want to see product landing page and interact with elements on this page","","[Venus] User can see product details on product landing page","","[Venus] User can see product details on product landing page","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Specific Pages/SpecPage_Prod_Landing.feature:165"
"passed","Sun Jan 12 23:13:30 EET 2020","Sun Jan 12 23:14:33 EET 2020","62367","","As a customer, I should be able to see the cost summary on the page with the following info:","","[Venus] User can see cost summary of added to cart items","","[Venus] User can see cost summary of added to cart items","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Shopping bag/ShopBag_CostSummary.feature:77"
"passed","Sun Jan 12 22:03:25 EET 2020","Sun Jan 12 22:03:30 EET 2020","5212","","As a customer, I can start entering my search query in the input field and see auto-suggest results appear after typing a single character.","","[Venus] User can start entering or editing my search query in the input field and see auto-suggest results appear after typing a single character.","","[Venus] User can start entering or editing my search query in the input field and see auto-suggest results appear after typing a single character.","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Header/HDR_Auto_Sug.feature:41"
"passed","Sun Jan 12 22:58:01 EET 2020","Sun Jan 12 22:58:51 EET 2020","50136","","As a customer, I can filter search result product listing by all available options.","","[Venus] User can filter the product listing by size option","","[Venus] User can filter the product listing by size option","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PLP Product Listing Page/PLP_Filter.feature:440"
"passed","Sun Jan 12 23:29:17 EET 2020","Sun Jan 12 23:30:00 EET 2020","42333","","As user I want to see product landing page and interact with elements on this page","","[Venus] User can select Inseam size on special product landing page","","[Venus] User can select Inseam size on special product landing page","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Specific Pages/SpecPage_Prod_Landing.feature:250"
"passed","Sun Jan 12 22:51:47 EET 2020","Sun Jan 12 22:52:13 EET 2020","25268","","As a customer, I can view a ""Size Guide/Size Chart"" page","","[Venus] User can see ""Size Guide/Size Chart"" CTA on PDP page","","[Venus] User can see ""Size Guide/Size Chart"" CTA on PDP page","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PDP Product Details Page/PDP_SizeGuide.feature:47"
"passed","Sun Jan 12 22:32:22 EET 2020","Sun Jan 12 22:33:09 EET 2020","47296","","As a customer, I can view the product details and description content.","","[Venus] User can see tabs of product description on PDP","","[Venus] User can see tabs of product description on PDP","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PDP Product Details Page/PDP_Desc.feature:61"
"passed","Sun Jan 12 22:04:33 EET 2020","Sun Jan 12 22:04:37 EET 2020","4408","","As a customer, I can click on the search icon to display the search input field.","","[Venus] User opening search modal by taping search icon on header","","[Venus] User opening search modal by taping search icon on header","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Header/HDR_Search.feature:57"
"passed","Sun Jan 12 22:17:26 EET 2020","Sun Jan 12 22:18:36 EET 2020","70972","","As a customer, I can see all available menu items, navigate through different menu sections, and be directed to the destination page after tapping the desired item.","","[Venus] User can navigate through the site pages by taping corresponding element on hamburger menu","","[Venus] User can navigate through the site pages by taping corresponding element on hamburger menu","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Navigation Menu/NAVI_Menu_Links.feature:107"
"passed","Sun Jan 12 22:30:43 EET 2020","Sun Jan 12 22:31:28 EET 2020","45430","","As a customer, I should be able to view ""Complete The Look"" section of a product as a carousel","","[Venus] User can change complete the look product`s size","","[Venus] User can change complete the look product`s size","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PDP Product Details Page/PDP_CompleteLook_Caro.feature:81"
"passed","Sun Jan 12 22:31:28 EET 2020","Sun Jan 12 22:32:22 EET 2020","53314","","As a customer, I should be able to view ""Complete The Look"" section of a product as a carousel","","[Venus] User can change complete the look product`s qty","","[Venus] User can change complete the look product`s qty","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PDP Product Details Page/PDP_CompleteLook_Caro.feature:90"
"passed","Sun Jan 12 22:14:31 EET 2020","Sun Jan 12 22:14:46 EET 2020","14944","","As a customer, I can click on the hamburger menu to open up the mobile navigation.","","[Venus] User can close hamburger menu","","[Venus] User can close hamburger menu","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Navigation Menu/NAVI_Ham_Icn.feature:185"
"passed","Sun Jan 12 22:52:43 EET 2020","Sun Jan 12 22:53:28 EET 2020","45308","","As a customer, I can view a ""Size Guide/Size Chart"" page","","[Venus] User can navigate back to product from ""Size Guide/Size Chart"" spreadsheets","","[Venus] User can navigate back to product from ""Size Guide/Size Chart"" spreadsheets","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PDP Product Details Page/PDP_SizeGuide.feature:63"
"passed","Sun Jan 12 22:19:05 EET 2020","Sun Jan 12 22:19:57 EET 2020","52182","","As a customer, after I've selected my product options (eg. color and size), I can click on ""Add to Bag"" to add the product to my bag/cart.","","[Venus] User can add to product to cart after selecting product options","","[Venus] User can add to product to cart after selecting product options","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PDP Product Details Page/PDP_ATB.feature:157"
"passed","Sun Jan 12 22:35:32 EET 2020","Sun Jan 12 22:37:24 EET 2020","111914","","As a customer, if I'm logged in, I can click on the ""favorite"" button and add to my favorite's list.","","[Venus] Logged-in user can add item to favorites by taping ""favorites"" button on PDP","","[Venus] Logged-in user can add item to favorites by taping ""favorites"" button on PDP","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PDP Product Details Page/PDP_Favorite_Icn.feature:56"
"passed","Sun Jan 12 23:10:47 EET 2020","Sun Jan 12 23:11:43 EET 2020","55719","","As a customer, I can proceed to checkout by clicking an appropriate button.","","[Venus] User can navigate back to cart page from checkout","","[Venus] User can navigate back to cart page from checkout","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Shopping bag/ShopBag_ClickToCheckout.feature:155"
"passed","Sun Jan 12 23:09:11 EET 2020","Sun Jan 12 23:09:35 EET 2020","23253","","As a customer, I will need to select different sub-categories under a parent product listing page as applicable.","","[Venus] User can click different sub-categories under a parent product listing page to navigate to expected PLP","","[Venus] User can click different sub-categories under a parent product listing page to navigate to expected PLP","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PLP Product Listing Page/PLP_Sub_Cat_Links.feature:42"
"passed","Sun Jan 12 22:13:33 EET 2020","Sun Jan 12 22:13:36 EET 2020","3349","","As a customer, I can click on the hamburger menu to open up the mobile navigation.","","[Venus] User can open hamburger menu by tapping appropriate CTA on header","","[Venus] User can open hamburger menu by tapping appropriate CTA on header","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Navigation Menu/NAVI_Ham_Icn.feature:163"
